date,views,hours,pct_viewed,subs_gained,subs_per_1k,likes,comments,shares
2026-09-09,11527,20.0,43.7,21,1.82,158,7,2
2026-09-10,11715,21.3,43.9,21,1.79,159,7,2
2026-09-11,11841,21.7,43.7,21,1.77,160,7,2
2026-09-12,11663,21.3,42.1,21,1.80,159,7,4
2026-09-13,11724,21.4,40.4,21,1.79,159,7,4
2026-09-14,11818,21.7,40.3,20,1.69,165,7,4
2026-09-15,11511,21.8,39.1,18,1.56,161,6,4
2026-09-16,11101,21.7,39.1,18,1.62,161,7,4
2026-09-17,10950,21.4,38.8,19,1.74,159,7,3
2026-09-18,10395,20.7,38.2,17,1.64,144,7,3
2026-09-19,9769,19.8,36.1,15,1.54,124,7,3
2026-09-20,9710,19.6,35.7,15,1.54,121,7,3
