date,views,hours,pct_viewed,subs_gained,subs_per_1k,likes,comments,shares
2026-09-09,28539,55.5,86.1,127,4.45,1364,84,66
2026-09-10,24127,48.3,87.1,107,4.43,1165,80,54
2026-09-11,20149,39.0,87.3,76,3.77,908,69,35
2026-09-12,19199,37.4,87.6,66,3.44,847,64,33
2026-09-13,18449,34.5,84.1,63,3.41,804,61,31
2026-09-14,18214,34.0,81.7,59,3.24,778,56,31
2026-09-15,18185,34.4,80.2,56,3.08,757,49,28
2026-09-16,17815,33.8,79.5,53,2.98,731,46,29
2026-09-17,17764,33.4,77.6,51,2.87,717,43,28
2026-09-18,16975,32.0,77.1,48,2.83,679,40,28
2026-09-19,15924,30.5,76.5,41,2.57,627,39,30
2026-09-20,14850,28.6,74.5,36,2.42,583,34,27
2026-09-21,12824,24.9,72.5,30,2.34,478,30,24
